id,isResult,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,datetime,forecast_w,forecast_d,forecast_l
16501,True,78,Crystal Palace,CRY,71,Aston Villa,AVL,1,2,0.962129,0.454305,2021-11-27 15:00:00,0.5015,0.3502,0.1483
16503,True,87,Liverpool,LIV,74,Southampton,SOU,4,0,3.07278,0.966132,2021-11-27 15:00:00,0.8606,0.101,0.0384
16505,True,79,Norwich,NOR,229,Wolverhampton Wanderers,WOL,0,0,1.4047,0.297157,2021-11-27 15:00:00,0.705,0.2329,0.0621
16498,True,220,Brighton,BRI,245,Leeds,LED,0,0,1.90498,0.864829,2021-11-27 17:30:00,0.6441,0.224,0.1319
16497,True,244,Brentford,BRE,72,Everton,EVE,1,0,1.19813,0.968075,2021-11-28 14:00:00,0.4215,0.329,0.2495
16502,True,75,Leicester,LEI,90,Watford,WAT,4,2,2.16027,2.38383,2021-11-28 14:00:00,0.332,0.2403,0.4277
16504,True,88,Manchester City,MCI,81,West Ham,WHU,2,1,2.72187,0.171763,2021-11-28 14:00:00,0.9519,0.0432,0.0049
16500,True,80,Chelsea,CHE,89,Manchester United,MUN,1,1,2.34525,0.563367,2021-11-28 16:30:00,0.8372,0.1357,0.0271
16513,True,86,Newcastle United,NEW,79,Norwich,NOR,1,1,1.15636,1.51084,2021-11-30 19:30:00,0.2596,0.3006,0.4398
16508,True,245,Leeds,LED,78,Crystal Palace,CRY,1,0,1.9818,0.707328,2021-11-30 20:15:00,0.7505,0.1819,0.0676
16509,True,90,Watford,WAT,80,Chelsea,CHE,1,2,0.990877,0.908574,2021-12-01 19:30:00,0.3546,0.3333,0.3121
16510,True,81,West Ham,WHU,220,Brighton,BRI,1,1,1.14679,1.2607,2021-12-01 19:30:00,0.3108,0.3198,0.3694
16511,True,229,Wolverhampton Wanderers,WOL,92,Burnley,BUR,0,0,0.711691,0.195537,2021-12-01 19:30:00,0.4555,0.4569,0.0876
16514,True,74,Southampton,SOU,75,Leicester,LEI,2,2,1.91169,1.4401,2021-12-01 19:30:00,0.4988,0.2516,0.2496
16506,True,71,Aston Villa,AVL,88,Manchester City,MCI,1,2,0.772083,1.01897,2021-12-01 20:15:00,0.2603,0.3452,0.3945
16507,True,72,Everton,EVE,87,Liverpool,LIV,1,4,0.512263,2.86067,2021-12-01 20:15:00,0.0212,0.0752,0.9036
16515,True,82,Tottenham,TOT,244,Brentford,BRE,2,0,2.07248,0.225492,2021-12-02 19:30:00,0.8964,0.09,0.0136
16512,True,89,Manchester United,MUN,83,Arsenal,ARS,3,2,1.85597,1.16638,2021-12-02 20:15:00,0.5558,0.2561,0.1881
