Dátum,Meccs-Id,Hazai-Id,Hazai-Csapat,Ellenfél-Id,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-XG,Ellenfél-XG
2017-04-09 12:00:00,4329,183,Spartak Moscow,184,FC Ufa,3,1,,,3.09405,1.33516
2017-04-16 18:00:00,4335,183,Spartak Moscow,189,Zenit St. Petersburg,2,1,,,1.50157,1.41758
2017-04-22 14:30:00,4344,183,Spartak Moscow,187,FC Rostov,0,3,,,0.134405,1.84496
2017-04-25 17:30:00,4351,183,Spartak Moscow,198,Ural,1,0,,,0.828408,0.250018
2017-04-30 15:00:00,4361,183,Spartak Moscow,185,CSKA Moscow,2,1,,,3.26685,1.50148
2017-05-06 17:00:00,4367,183,Spartak Moscow,201,Tom Tomsk,1,0,,,1.98632,0.406117
2017-05-13 12:30:00,4377,183,Spartak Moscow,195,Amkar,1,0,,,0.709238,0.753704
2017-05-17 17:30:00,4383,183,Spartak Moscow,188,FK Akhmat,3,0,,,0.941401,0.61298
2017-05-21 13:00:00,4393,183,Spartak Moscow,200,Arsenal Tula,0,3,,,0.351353,2.65454
2017-07-18 17:30:00,6708,183,Spartak Moscow,190,Dinamo Moscow,2,2,,,1.58082,1.90496
2017-07-23 13:00:00,6477,183,Spartak Moscow,184,FC Ufa,0,0,,,1.45904,0.674356
2017-07-31 17:30:00,6492,183,Spartak Moscow,196,FC Krasnodar,2,0,,,2.34331,0.998596
2017-08-06 18:00:00,6499,183,Spartak Moscow,189,Zenit St. Petersburg,1,5,,,1.4037,1.88397
2017-08-09 17:30:00,6504,183,Spartak Moscow,200,Arsenal Tula,2,0,,,2.19247,0.230477
2017-08-12 15:30:00,6510,183,Spartak Moscow,185,CSKA Moscow,1,2,,,0.53619,1.33478
2017-08-19 15:30:00,6519,183,Spartak Moscow,192,Lokomotiv Moscow,3,4,,,1.26535,1.77424
2017-08-27 09:00:00,6529,183,Spartak Moscow,218,SKA-Khabarovsk,0,0,,,1.97545,0.110547
2017-09-09 17:00:00,6537,183,Spartak Moscow,186,Rubin Kazan,1,0,,,1.03379,0.403312
2017-09-17 11:00:00,6545,183,Spartak Moscow,217,Tosno,2,2,,,0.968586,0.903318
2017-09-23 17:00:00,6549,183,Spartak Moscow,193,Anzhi Makhachkala,2,2,,,1.7553,0.764125
2017-09-30 17:00:00,6562,183,Spartak Moscow,198,Ural,2,0,,,1.66206,0.376897
2017-10-13 17:30:00,6570,183,Spartak Moscow,188,FK Akhmat,2,1,,,1.4541,1.1473
2017-10-21 17:00:00,6578,183,Spartak Moscow,195,Amkar,0,0,,,1.61081,0.562139
2017-10-28 17:00:00,6588,183,Spartak Moscow,187,FC Rostov,2,2,,,0.833672,0.764957
2017-11-05 16:00:00,6592,183,Spartak Moscow,184,FC Ufa,3,1,,,1.43737,0.234339
2017-11-18 13:30:00,6600,183,Spartak Moscow,196,FC Krasnodar,4,1,,,2.2857,0.93844
2017-11-27 16:30:00,6608,183,Spartak Moscow,189,Zenit St. Petersburg,3,1,,,1.12452,0.607375
2017-12-01 16:30:00,6616,183,Spartak Moscow,200,Arsenal Tula,1,0,,,1.74281,1.29236
2017-12-10 13:30:00,6622,183,Spartak Moscow,185,CSKA Moscow,3,0,,,2.65879,0.420024
2018-03-04 13:30:00,6635,183,Spartak Moscow,192,Lokomotiv Moscow,0,0,,,0.627805,0.513635
2018-03-11 16:00:00,6639,183,Spartak Moscow,218,SKA-Khabarovsk,1,0,,,3.15449,0.0844931
2018-03-17 16:00:00,6648,183,Spartak Moscow,186,Rubin Kazan,2,1,,,1.58693,0.822052
2018-03-31 00:00:00,6657,183,Spartak Moscow,217,Tosno,2,1,,,1.7662,1.0495
2018-04-08 16:00:00,6661,183,Spartak Moscow,193,Anzhi Makhachkala,4,1,,,2.6645,0.828105
2018-04-15 11:00:00,6674,183,Spartak Moscow,198,Ural,1,2,,,1.24309,1.90358
2018-04-23 16:30:00,6682,183,Spartak Moscow,188,FK Akhmat,1,3,,,1.82548,0.787823
2018-04-29 11:00:00,6687,183,Spartak Moscow,195,Amkar,2,0,,,1.75539,0.436243
