-3.6,-3.5,-3.4,-3.2,-3.0,-2.9,-2.8,-2.7,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,-0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.2,3.4,3.5,3.6
,,,,,,64%,77%,64%,55%,50%,59%,64%,45%,45%,23%,23%,59%,41%,36%,36%,27%,41%,45%,23%,32%,32%,45%,23%,36%,50%,41%,27%,36%,32%,18%,32%,23%,18%,36%,32%,23%,18%,36%,32%,9%,27%,18%,32%,18%,18%,14%,23%,14%,32%,14%,14%,9%,9%,9%,0%,5%,9%,,,,,,
,,,,,,65%,78%,65%,57%,52%,61%,65%,48%,48%,26%,26%,57%,39%,39%,35%,30%,39%,43%,22%,30%,30%,43%,22%,35%,52%,39%,30%,39%,30%,17%,30%,22%,22%,35%,30%,22%,17%,35%,30%,9%,26%,17%,30%,17%,17%,13%,22%,13%,30%,17%,13%,9%,9%,9%,0%,4%,9%,,,,,,
,,,,,,62%,75%,67%,58%,50%,62%,67%,50%,50%,25%,29%,54%,38%,42%,38%,33%,38%,42%,21%,33%,33%,42%,21%,38%,50%,38%,29%,42%,29%,17%,29%,21%,21%,38%,29%,21%,21%,33%,29%,8%,25%,17%,33%,17%,17%,12%,21%,17%,29%,17%,17%,8%,8%,8%,0%,4%,8%,,,,,,
,,,,,,64%,76%,68%,60%,52%,60%,64%,48%,52%,24%,28%,56%,36%,44%,40%,36%,36%,40%,24%,32%,32%,40%,20%,36%,52%,36%,28%,44%,28%,16%,28%,24%,20%,36%,28%,20%,20%,32%,28%,8%,24%,20%,32%,16%,16%,12%,20%,16%,28%,16%,16%,8%,8%,8%,0%,4%,8%,,,,,,
,,,,,,65%,77%,65%,58%,54%,62%,65%,46%,54%,27%,27%,54%,38%,46%,42%,35%,35%,42%,27%,31%,31%,38%,19%,35%,50%,35%,27%,42%,31%,15%,27%,27%,23%,35%,27%,19%,19%,31%,27%,8%,23%,19%,31%,15%,15%,15%,19%,15%,27%,15%,19%,8%,8%,12%,4%,4%,8%,,,,,,
,,,,,,63%,74%,67%,59%,52%,63%,67%,44%,56%,26%,26%,52%,37%,44%,41%,33%,33%,44%,26%,33%,30%,37%,22%,37%,48%,33%,30%,44%,33%,15%,26%,26%,22%,33%,26%,19%,19%,33%,26%,7%,22%,19%,30%,15%,15%,15%,19%,15%,26%,15%,19%,7%,7%,11%,4%,4%,7%,,,,,,
,,,,,,61%,75%,64%,61%,50%,64%,68%,46%,54%,29%,29%,54%,39%,46%,43%,36%,32%,46%,25%,36%,29%,36%,21%,39%,46%,32%,29%,43%,32%,14%,25%,29%,21%,32%,29%,21%,18%,32%,25%,7%,21%,18%,32%,14%,14%,14%,18%,14%,25%,14%,18%,7%,7%,11%,4%,4%,7%,,,,,,
,,,,,,59%,76%,66%,62%,52%,62%,66%,48%,55%,31%,28%,52%,38%,48%,41%,34%,31%,45%,24%,34%,28%,34%,21%,38%,45%,31%,28%,45%,34%,17%,24%,28%,24%,31%,28%,21%,17%,34%,24%,7%,21%,17%,31%,14%,17%,14%,21%,14%,24%,14%,17%,,7%,10%,3%,3%,7%,,,,,,
,,,,,,60%,77%,67%,60%,53%,60%,67%,47%,57%,33%,30%,50%,37%,47%,43%,33%,30%,43%,27%,33%,27%,33%,20%,37%,43%,33%,27%,43%,33%,20%,23%,30%,23%,30%,30%,20%,17%,33%,23%,7%,20%,17%,30%,13%,17%,13%,23%,13%,23%,13%,17%,,7%,10%,,3%,7%,,,,,,
,,,,,,61%,74%,68%,58%,52%,,65%,45%,55%,35%,32%,52%,39%,48%,42%,32%,29%,45%,29%,32%,26%,35%,19%,39%,42%,35%,26%,42%,35%,23%,26%,29%,23%,32%,29%,19%,16%,32%,23%,6%,19%,16%,29%,13%,19%,13%,23%,13%,23%,13%,16%,,10%,10%,,3%,6%,,,,,,
