-5.0,-4.8,-4.6,-4.2,-4.1,-4.0,-3.9,-3.8,-3.7,-3.6,-3.5,-3.4,-3.3,-3.2,-3.1,-3.0,-2.9,-2.8,-2.7,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.6,4.8,5.0
,,,,,,,,,,,39%,,45%,48%,39%,58%,48%,55%,61%,45%,45%,45%,30%,42%,52%,27%,36%,39%,36%,39%,30%,18%,45%,39%,52%,42%,33%,36%,36%,36%,18%,36%,21%,36%,27%,21%,33%,24%,36%,42%,33%,30%,12%,30%,24%,18%,21%,30%,24%,30%,18%,9%,27%,24%,12%,15%,12%,18%,18%,12%,18%,15%,33%,9%,15%,6%,24%,,24%,,,,,,,,,,,
,,,,,,,,,,,41%,,44%,47%,38%,56%,47%,53%,62%,47%,44%,47%,32%,41%,50%,26%,35%,38%,35%,38%,29%,18%,44%,41%,50%,41%,32%,35%,35%,35%,18%,35%,21%,35%,29%,21%,35%,24%,35%,41%,32%,32%,12%,29%,24%,18%,21%,29%,24%,29%,18%,9%,26%,24%,12%,15%,12%,21%,18%,12%,18%,15%,32%,12%,15%,6%,24%,,24%,,,,,,,,,,,
,,,,,,,,,,,40%,,46%,49%,40%,54%,46%,54%,63%,49%,46%,46%,34%,40%,51%,26%,34%,40%,37%,40%,31%,17%,43%,43%,49%,43%,34%,34%,34%,34%,20%,34%,20%,34%,29%,20%,37%,23%,34%,40%,31%,31%,11%,29%,23%,17%,23%,29%,23%,31%,17%,9%,26%,23%,11%,14%,11%,20%,17%,11%,17%,14%,34%,11%,14%,6%,23%,,23%,,,,,,,,,,,
,,,,,,,,,,,42%,,44%,47%,39%,53%,47%,56%,61%,47%,47%,44%,33%,42%,50%,25%,36%,39%,36%,39%,31%,19%,42%,42%,47%,42%,36%,36%,33%,33%,19%,33%,22%,33%,28%,22%,36%,22%,33%,39%,31%,31%,11%,28%,22%,19%,22%,28%,25%,31%,17%,11%,25%,22%,14%,14%,11%,19%,17%,11%,17%,14%,33%,11%,14%,6%,22%,,22%,,,,,,,,,,,
,,,,,,,,,,,41%,,43%,49%,41%,54%,49%,54%,62%,46%,49%,43%,32%,41%,49%,27%,35%,38%,38%,38%,30%,22%,43%,43%,46%,41%,35%,38%,35%,32%,22%,35%,22%,32%,27%,22%,35%,22%,32%,38%,30%,32%,11%,27%,22%,19%,22%,30%,24%,32%,16%,11%,24%,22%,14%,14%,11%,22%,19%,11%,16%,14%,32%,11%,14%,8%,22%,,22%,,,,,,,,,,,
,,,,,,,,,,,39%,,45%,50%,42%,55%,50%,53%,63%,47%,47%,42%,32%,39%,47%,26%,34%,37%,39%,39%,32%,21%,42%,45%,47%,39%,37%,37%,34%,32%,21%,34%,21%,32%,26%,21%,34%,21%,32%,37%,29%,32%,13%,26%,21%,21%,24%,29%,24%,32%,16%,11%,24%,21%,13%,13%,11%,21%,18%,11%,16%,13%,32%,11%,13%,8%,24%,,21%,,,,,,,,,,,
,,,,,,,,,,,38%,,,51%,44%,54%,49%,54%,64%,49%,49%,44%,31%,41%,46%,26%,33%,36%,41%,38%,33%,23%,41%,44%,49%,41%,36%,38%,33%,31%,23%,33%,23%,33%,28%,21%,33%,21%,33%,38%,31%,31%,13%,28%,21%,21%,23%,28%,23%,31%,15%,10%,26%,21%,15%,13%,10%,21%,18%,13%,15%,13%,31%,13%,13%,8%,,,,,,,,,,,,,,
,,,,,,,,,,,40%,,,50%,42%,55%,48%,55%,62%,50%,48%,42%,30%,40%,45%,28%,35%,35%,42%,40%,32%,22%,42%,45%,48%,42%,35%,40%,35%,32%,25%,32%,22%,35%,28%,22%,35%,20%,32%,38%,30%,30%,12%,28%,20%,20%,22%,28%,25%,30%,18%,12%,25%,20%,15%,12%,10%,20%,18%,12%,15%,12%,30%,12%,12%,8%,,,,,,,,,,,,,,
,,,,,,,,,,,41%,,,51%,41%,56%,49%,56%,61%,51%,46%,41%,32%,41%,46%,27%,34%,34%,44%,41%,34%,22%,41%,46%,49%,44%,34%,41%,34%,32%,27%,34%,24%,34%,27%,24%,34%,20%,32%,37%,29%,29%,12%,27%,20%,20%,22%,27%,24%,32%,17%,15%,24%,20%,15%,12%,10%,20%,17%,12%,15%,12%,29%,12%,15%,7%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,50%,40%,57%,50%,57%,62%,52%,48%,40%,31%,43%,45%,26%,33%,33%,43%,40%,36%,21%,40%,45%,48%,43%,33%,43%,33%,31%,29%,33%,26%,33%,29%,24%,33%,19%,31%,36%,29%,31%,12%,26%,21%,19%,21%,26%,24%,31%,17%,17%,24%,19%,14%,14%,10%,19%,17%,12%,14%,12%,,14%,14%,7%,,,,,,,,,,,,,,
