-2.9,-2.8,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0
,,,,,,,,23%,23%,19%,31%,23%,19%,15%,19%,31%,23%,15%,35%,35%,27%,23%,31%,27%,38%,35%,46%,23%,27%,23%,12%,23%,38%,23%,23%,27%,27%,19%,23%,23%,35%,19%,15%,31%,31%,15%,23%,15%,23%,27%,,,,,,,,
,,,,,,,,22%,22%,19%,33%,26%,22%,15%,22%,30%,26%,15%,33%,33%,26%,22%,30%,30%,37%,33%,44%,22%,26%,22%,15%,26%,37%,22%,22%,26%,30%,19%,26%,26%,33%,22%,15%,30%,30%,15%,22%,15%,22%,30%,,,,,,,,
,,,,,,,,21%,21%,21%,36%,29%,21%,18%,21%,29%,29%,14%,32%,32%,25%,25%,32%,29%,36%,32%,46%,21%,25%,25%,14%,25%,36%,21%,21%,29%,29%,18%,25%,25%,32%,21%,18%,29%,29%,18%,25%,14%,25%,29%,,,,,,,,
,,,,,,,,21%,21%,21%,34%,31%,21%,21%,24%,28%,28%,14%,31%,34%,28%,28%,31%,31%,38%,31%,45%,21%,24%,24%,14%,28%,34%,21%,24%,28%,28%,17%,24%,28%,31%,21%,17%,28%,28%,17%,28%,14%,24%,28%,,,,,,,,
,,,,,,,,20%,,20%,33%,30%,20%,20%,23%,27%,27%,17%,30%,37%,27%,30%,33%,30%,37%,30%,43%,20%,23%,23%,17%,30%,33%,20%,23%,27%,27%,17%,23%,27%,30%,20%,20%,30%,27%,17%,27%,13%,23%,30%,,,,,,,,
,,,,,,,,,,23%,32%,29%,23%,19%,23%,26%,29%,19%,29%,35%,26%,29%,35%,32%,39%,29%,42%,19%,23%,26%,16%,29%,35%,19%,23%,29%,29%,16%,26%,29%,29%,19%,19%,29%,26%,16%,29%,13%,23%,,,,,,,,,
,,,,,,,,,,22%,34%,28%,22%,19%,22%,28%,28%,19%,28%,34%,25%,28%,34%,31%,38%,28%,41%,19%,22%,25%,16%,31%,34%,22%,22%,31%,28%,16%,28%,28%,31%,22%,19%,31%,28%,16%,28%,12%,22%,,,,,,,,,
,,,,,,,,,,21%,36%,27%,21%,21%,21%,27%,30%,18%,27%,33%,24%,27%,36%,30%,36%,27%,42%,21%,21%,24%,18%,30%,33%,21%,21%,30%,27%,18%,27%,27%,30%,21%,18%,30%,30%,15%,27%,12%,21%,,,,,,,,,
,,,,,,,,,,21%,35%,26%,21%,21%,21%,26%,32%,18%,26%,32%,24%,29%,35%,29%,35%,26%,41%,21%,21%,24%,18%,32%,32%,24%,21%,32%,26%,18%,26%,29%,29%,21%,21%,29%,29%,18%,29%,12%,21%,,,,,,,,,
,,,,,,,,,,23%,34%,26%,23%,20%,20%,26%,31%,17%,26%,31%,23%,29%,34%,31%,34%,26%,40%,23%,23%,23%,17%,34%,31%,23%,20%,31%,26%,17%,29%,31%,29%,23%,23%,31%,29%,17%,29%,11%,20%,,,,,,,,,
,,,,,,,,,,22%,33%,25%,25%,19%,19%,28%,31%,17%,28%,31%,22%,28%,33%,31%,33%,25%,42%,22%,22%,22%,19%,36%,31%,22%,19%,31%,25%,17%,28%,31%,28%,25%,25%,31%,31%,17%,28%,11%,19%,,,,,,,,,
,,,,,,,,,,24%,35%,24%,24%,22%,22%,30%,30%,16%,27%,30%,24%,27%,35%,30%,35%,24%,41%,22%,24%,22%,19%,38%,30%,22%,19%,30%,27%,16%,27%,30%,27%,27%,27%,30%,30%,19%,27%,11%,19%,,,,,,,,,
,,,,,,,,,,24%,37%,24%,24%,24%,21%,32%,32%,16%,29%,32%,24%,29%,34%,32%,34%,24%,39%,21%,24%,21%,18%,37%,29%,24%,18%,29%,29%,18%,29%,29%,26%,26%,26%,32%,29%,18%,26%,11%,18%,,,,,,,,,
,,,,,,,,,,26%,36%,23%,23%,23%,21%,31%,31%,15%,28%,31%,23%,28%,36%,31%,33%,23%,38%,23%,23%,21%,21%,36%,28%,26%,21%,31%,28%,18%,28%,28%,26%,26%,26%,31%,28%,21%,26%,10%,18%,,,,,,,,,
,,,,,,,,,,25%,38%,22%,25%,22%,20%,30%,30%,18%,28%,32%,22%,28%,35%,30%,32%,22%,38%,22%,22%,22%,20%,35%,28%,28%,20%,30%,30%,18%,28%,28%,28%,25%,28%,30%,28%,20%,25%,10%,18%,,,,,,,,,
,,,,,,,,,,,37%,22%,24%,22%,20%,29%,32%,17%,27%,32%,22%,29%,37%,32%,34%,24%,37%,24%,22%,22%,20%,37%,27%,29%,20%,29%,29%,20%,27%,27%,29%,27%,27%,29%,27%,20%,27%,10%,,,,,,,,,,
,,,,,,,,,,,38%,21%,26%,21%,19%,31%,31%,17%,26%,33%,21%,29%,36%,31%,33%,26%,36%,26%,21%,21%,19%,36%,26%,29%,19%,29%,31%,19%,29%,29%,29%,26%,26%,29%,29%,19%,26%,10%,,,,,,,,,,
,,,,,,,,,,,40%,21%,28%,21%,19%,30%,30%,16%,26%,35%,21%,28%,35%,33%,33%,26%,35%,28%,23%,23%,21%,35%,26%,30%,21%,30%,30%,19%,28%,28%,28%,28%,26%,28%,28%,19%,28%,9%,,,,,,,,,,
,,,,,,,,,,,39%,20%,27%,23%,18%,30%,30%,16%,25%,34%,20%,27%,34%,32%,32%,25%,36%,27%,23%,23%,20%,34%,27%,32%,23%,32%,30%,20%,30%,27%,27%,27%,27%,27%,27%,18%,27%,9%,,,,,,,,,,
,,,,,,,,,,,40%,20%,27%,22%,20%,29%,29%,16%,24%,33%,20%,27%,33%,31%,31%,24%,36%,27%,22%,22%,22%,33%,27%,31%,22%,31%,29%,20%,29%,27%,29%,29%,27%,27%,27%,18%,27%,9%,,,,,,,,,,
,,,,,,,,,,,39%,20%,26%,24%,22%,28%,30%,15%,24%,33%,20%,26%,33%,33%,30%,24%,35%,26%,22%,22%,22%,33%,26%,30%,22%,33%,28%,20%,28%,26%,30%,28%,28%,26%,28%,17%,26%,11%,,,,,,,,,,
,,,,,,,,,,,38%,19%,28%,23%,21%,28%,30%,15%,26%,32%,19%,28%,34%,34%,30%,23%,34%,26%,21%,21%,21%,32%,26%,30%,21%,32%,30%,19%,30%,26%,32%,30%,28%,26%,28%,17%,26%,11%,,,,,,,,,,
,,,,,,,,,,,38%,19%,27%,23%,21%,27%,29%,15%,25%,33%,19%,27%,35%,33%,31%,25%,33%,25%,21%,21%,23%,33%,25%,29%,23%,31%,29%,21%,29%,27%,31%,29%,27%,25%,27%,19%,25%,10%,,,,,,,,,,
,,,,,,,,,,,,18%,29%,22%,20%,27%,29%,16%,24%,33%,18%,27%,37%,35%,31%,24%,33%,27%,20%,22%,24%,33%,24%,29%,22%,31%,29%,20%,29%,29%,31%,29%,27%,24%,27%,18%,24%,10%,,,,,,,,,,
,,,,,,,,,,,,18%,28%,22%,20%,26%,28%,16%,24%,34%,18%,28%,36%,34%,30%,24%,34%,26%,20%,22%,24%,32%,24%,28%,22%,30%,28%,20%,28%,30%,30%,30%,26%,26%,26%,18%,26%,12%,,,,,,,,,,
,,,,,,,,,,,,18%,27%,22%,20%,25%,27%,16%,25%,35%,20%,27%,35%,33%,29%,25%,35%,25%,20%,22%,25%,31%,24%,27%,22%,29%,27%,20%,27%,31%,31%,29%,25%,25%,25%,18%,25%,14%,,,,,,,,,,
,,,,,,,,,,,,17%,27%,21%,19%,25%,29%,17%,25%,37%,21%,29%,35%,33%,31%,25%,35%,25%,19%,23%,25%,33%,23%,27%,21%,29%,29%,21%,29%,33%,33%,29%,25%,27%,25%,17%,27%,,,,,,,,,,,
,,,,,,,,,,,,19%,26%,21%,21%,25%,28%,19%,25%,36%,23%,28%,34%,34%,32%,25%,36%,25%,19%,25%,26%,32%,23%,26%,21%,28%,28%,23%,28%,32%,32%,28%,25%,26%,25%,17%,26%,,,,,,,,,,,
,,,,,,,,,,,,19%,28%,20%,20%,24%,28%,19%,24%,35%,22%,28%,33%,35%,33%,24%,35%,26%,19%,26%,28%,31%,22%,26%,20%,30%,30%,22%,30%,31%,31%,28%,24%,26%,26%,19%,26%,,,,,,,,,,,
,,,,,,,,,,,,18%,27%,20%,20%,24%,29%,18%,25%,35%,24%,27%,33%,35%,33%,25%,35%,25%,18%,27%,27%,33%,24%,25%,22%,29%,29%,22%,29%,31%,31%,27%,24%,27%,27%,18%,25%,,,,,,,,,,,
,,,,,,,,,,,,18%,27%,20%,20%,23%,29%,18%,25%,34%,25%,27%,32%,34%,34%,25%,34%,27%,18%,27%,27%,32%,25%,25%,23%,29%,29%,21%,29%,30%,32%,27%,23%,27%,27%,20%,25%,,,,,,,,,,,
,,,,,,,,,,,,18%,26%,19%,19%,23%,30%,19%,25%,33%,26%,28%,32%,35%,33%,25%,33%,26%,18%,26%,28%,32%,26%,25%,23%,28%,28%,21%,28%,30%,32%,28%,23%,28%,28%,19%,26%,,,,,,,,,,,
,,,,,,,,,,,,17%,26%,19%,19%,22%,29%,19%,24%,33%,26%,28%,31%,34%,33%,24%,33%,26%,17%,26%,29%,31%,26%,24%,22%,28%,28%,21%,28%,29%,31%,29%,24%,29%,29%,19%,26%,,,,,,,,,,,
,,,,,,,,,,,,19%,25%,20%,19%,24%,31%,19%,24%,34%,25%,27%,31%,34%,32%,24%,32%,27%,17%,25%,29%,31%,27%,24%,24%,27%,27%,20%,27%,31%,32%,29%,24%,31%,29%,20%,25%,,,,,,,,,,,
,,,,,,,,,,,,18%,25%,20%,18%,23%,32%,20%,23%,33%,25%,28%,30%,33%,32%,25%,32%,28%,18%,25%,28%,32%,28%,25%,25%,27%,28%,22%,27%,30%,32%,28%,23%,30%,28%,20%,25%,,,,,,,,,,,
,,,,,,,,,,,,18%,25%,20%,20%,25%,33%,21%,23%,33%,25%,28%,30%,33%,31%,25%,33%,28%,18%,25%,28%,33%,28%,26%,26%,26%,28%,21%,26%,30%,31%,28%,23%,30%,30%,20%,25%,,,,,,,,,,,
,,,,,,,,,,,,18%,26%,21%,21%,24%,34%,21%,23%,32%,24%,27%,29%,32%,31%,24%,32%,29%,18%,26%,29%,32%,27%,26%,26%,26%,29%,23%,26%,31%,32%,27%,23%,31%,29%,19%,24%,,,,,,,,,,,
,,,,,,,,,,,,19%,27%,21%,22%,24%,33%,21%,22%,32%,25%,27%,29%,32%,32%,25%,32%,29%,17%,25%,29%,32%,27%,25%,25%,25%,29%,24%,25%,30%,32%,27%,22%,30%,29%,19%,25%,,,,,,,,,,,
,,,,,,,,,,,,,28%,22%,22%,25%,34%,20%,22%,31%,25%,27%,28%,31%,33%,27%,33%,28%,17%,25%,28%,31%,27%,25%,27%,25%,28%,25%,25%,30%,33%,27%,23%,30%,28%,19%,25%,,,,,,,,,,,
