,,,,,,,,,,,,,8%,8%,15%,15%,8%,15%,15%,23%,23%,0%,15%,15%,8%,23%,23%,23%,38%,31%,31%,31%,15%,38%,38%,46%,46%,15%,38%,46%,54%,46%,46%,23%,38%,31%,38%,38%,46%,54%,54%,23%,77%,54%,62%,46%,54%,62%,46%,54%,62%,38%,69%,69%,69%,69%,62%,54%,92%,77%,77%,69%,92%,85%,69%,85%,92%,85%,77%,,,,92%,,,,,,,,,,,,,
,,,,,,,,,,,,,7%,7%,21%,21%,7%,14%,14%,21%,21%,0%,14%,14%,7%,29%,21%,29%,43%,29%,29%,29%,14%,36%,36%,43%,43%,14%,36%,50%,57%,43%,50%,21%,36%,29%,43%,36%,50%,50%,50%,21%,71%,57%,57%,43%,50%,57%,50%,57%,57%,43%,64%,71%,71%,64%,57%,50%,93%,79%,71%,71%,93%,86%,71%,86%,93%,86%,79%,,,,93%,,,,,,,,,,,,,
,,,,,,,,,,,,,7%,13%,20%,20%,7%,20%,13%,20%,20%,0%,13%,13%,13%,27%,20%,27%,40%,27%,27%,27%,13%,33%,33%,40%,47%,13%,40%,47%,53%,40%,53%,27%,33%,33%,47%,40%,47%,47%,53%,20%,73%,60%,60%,40%,53%,53%,47%,60%,60%,40%,60%,73%,73%,67%,60%,53%,87%,80%,73%,73%,93%,87%,67%,87%,87%,87%,80%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,12%,19%,19%,6%,19%,12%,19%,19%,0%,12%,12%,12%,31%,25%,25%,38%,25%,25%,31%,12%,38%,31%,38%,44%,12%,38%,50%,56%,44%,50%,31%,31%,38%,50%,38%,44%,50%,50%,25%,75%,62%,62%,44%,56%,56%,44%,62%,56%,38%,62%,75%,75%,69%,62%,56%,88%,75%,69%,69%,94%,88%,69%,88%,88%,88%,81%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,12%,18%,18%,6%,24%,12%,18%,18%,0%,12%,18%,12%,29%,24%,24%,35%,24%,24%,29%,12%,35%,29%,41%,47%,12%,35%,47%,59%,47%,47%,29%,35%,41%,53%,41%,41%,53%,47%,29%,76%,65%,59%,41%,53%,59%,47%,65%,53%,35%,59%,76%,76%,65%,59%,59%,88%,76%,65%,65%,94%,88%,71%,88%,88%,82%,82%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11%,22%,17%,6%,22%,11%,17%,17%,0%,11%,22%,11%,28%,22%,22%,33%,22%,22%,33%,11%,33%,28%,44%,44%,11%,39%,50%,56%,44%,44%,33%,39%,39%,56%,39%,39%,50%,50%,33%,78%,67%,56%,44%,56%,61%,50%,61%,56%,39%,61%,78%,72%,67%,56%,61%,89%,78%,61%,67%,89%,89%,72%,89%,83%,83%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11%,21%,16%,5%,26%,11%,16%,16%,0%,11%,21%,11%,32%,21%,21%,32%,26%,26%,37%,11%,32%,26%,42%,42%,16%,37%,47%,58%,47%,47%,32%,42%,37%,58%,37%,37%,47%,47%,37%,79%,68%,58%,47%,53%,63%,47%,58%,58%,37%,63%,79%,68%,63%,58%,63%,89%,79%,63%,68%,89%,89%,74%,89%,79%,79%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10%,20%,20%,5%,30%,10%,15%,15%,5%,15%,20%,15%,30%,20%,25%,30%,25%,25%,40%,15%,35%,30%,40%,40%,20%,40%,50%,60%,45%,50%,30%,40%,35%,55%,40%,35%,45%,50%,40%,75%,65%,60%,45%,55%,65%,50%,55%,60%,35%,65%,80%,70%,65%,60%,65%,90%,80%,60%,70%,90%,90%,75%,90%,80%,75%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10%,19%,24%,5%,29%,10%,14%,14%,10%,19%,19%,14%,29%,19%,29%,33%,24%,24%,38%,14%,33%,29%,43%,38%,24%,38%,52%,57%,48%,52%,33%,38%,33%,52%,38%,33%,48%,48%,38%,76%,62%,62%,48%,52%,67%,52%,52%,57%,33%,67%,81%,71%,67%,62%,67%,90%,76%,62%,67%,90%,90%,71%,90%,81%,76%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,9%,23%,27%,5%,27%,9%,18%,18%,9%,18%,23%,14%,32%,18%,27%,36%,23%,23%,36%,14%,36%,27%,45%,41%,27%,36%,55%,55%,45%,50%,36%,36%,32%,55%,36%,36%,45%,45%,36%,73%,64%,64%,50%,50%,68%,50%,55%,59%,36%,64%,82%,73%,68%,64%,68%,91%,73%,64%,68%,86%,86%,73%,91%,82%,77%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,9%,22%,26%,4%,26%,9%,17%,22%,13%,17%,22%,13%,30%,22%,26%,39%,26%,22%,35%,17%,35%,26%,43%,39%,26%,35%,57%,52%,43%,48%,35%,39%,30%,57%,39%,35%,43%,43%,35%,70%,61%,61%,52%,48%,65%,48%,52%,57%,35%,61%,83%,74%,70%,61%,70%,91%,74%,65%,65%,87%,87%,74%,91%,83%,78%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,8%,,25%,8%,25%,8%,17%,21%,12%,17%,21%,12%,33%,25%,25%,42%,25%,25%,33%,17%,33%,29%,42%,38%,25%,33%,58%,50%,42%,46%,38%,38%,29%,58%,38%,38%,42%,46%,33%,71%,62%,62%,50%,46%,67%,50%,54%,58%,38%,58%,79%,71%,71%,58%,71%,92%,75%,67%,67%,88%,88%,71%,92%,79%,79%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,8%,,24%,8%,28%,8%,16%,24%,12%,16%,20%,16%,32%,24%,24%,40%,24%,24%,32%,16%,32%,28%,40%,36%,24%,32%,60%,52%,44%,44%,40%,40%,32%,60%,40%,36%,40%,44%,36%,68%,64%,60%,48%,48%,64%,52%,52%,56%,40%,56%,76%,68%,72%,60%,72%,92%,76%,68%,68%,88%,88%,68%,92%,80%,80%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,8%,,23%,,27%,8%,15%,23%,12%,19%,19%,19%,31%,23%,23%,38%,23%,23%,35%,15%,31%,27%,42%,35%,23%,31%,58%,54%,46%,42%,42%,42%,31%,58%,42%,35%,38%,46%,38%,69%,65%,58%,46%,50%,65%,54%,50%,58%,42%,54%,77%,65%,69%,62%,73%,92%,77%,69%,69%,88%,88%,,88%,81%,81%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,22%,,26%,11%,15%,22%,11%,19%,22%,22%,33%,26%,26%,37%,22%,26%,33%,19%,30%,30%,41%,33%,22%,30%,59%,56%,44%,41%,44%,44%,33%,56%,44%,37%,37%,44%,41%,67%,63%,56%,48%,48%,63%,56%,48%,59%,44%,56%,78%,63%,67%,59%,74%,93%,78%,70%,67%,89%,89%,,89%,81%,81%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,21%,,25%,14%,18%,21%,11%,18%,21%,21%,32%,25%,25%,39%,21%,25%,32%,18%,29%,29%,39%,36%,21%,32%,57%,54%,43%,43%,43%,43%,32%,57%,43%,39%,39%,43%,39%,64%,61%,54%,50%,50%,61%,54%,46%,57%,46%,54%,79%,61%,64%,57%,75%,93%,79%,71%,68%,89%,86%,,89%,82%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,24%,17%,17%,21%,10%,21%,21%,24%,31%,24%,24%,41%,24%,24%,31%,17%,31%,31%,41%,34%,21%,31%,59%,52%,45%,41%,41%,45%,31%,59%,41%,38%,38%,41%,38%,66%,62%,55%,48%,48%,62%,55%,48%,59%,48%,55%,79%,62%,66%,59%,76%,93%,79%,69%,69%,86%,83%,,86%,83%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,23%,17%,17%,20%,10%,20%,20%,27%,30%,23%,27%,40%,23%,23%,30%,20%,30%,30%,43%,33%,20%,30%,57%,50%,43%,40%,40%,43%,33%,57%,40%,40%,37%,43%,37%,67%,60%,53%,50%,50%,60%,57%,47%,60%,47%,53%,77%,63%,67%,60%,77%,90%,80%,70%,70%,87%,83%,,87%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,23%,19%,16%,19%,13%,19%,23%,26%,32%,23%,26%,42%,23%,23%,29%,19%,32%,29%,42%,35%,19%,29%,58%,48%,45%,39%,39%,42%,35%,55%,39%,42%,35%,42%,39%,65%,61%,55%,48%,48%,61%,55%,45%,61%,48%,55%,74%,65%,65%,61%,77%,90%,81%,71%,71%,87%,84%,,84%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,22%,22%,16%,19%,12%,19%,22%,28%,31%,22%,25%,41%,22%,22%,28%,19%,31%,31%,41%,34%,19%,28%,56%,50%,47%,38%,41%,44%,38%,53%,38%,44%,38%,44%,41%,66%,62%,53%,47%,50%,59%,56%,44%,62%,50%,56%,75%,62%,66%,62%,75%,91%,81%,72%,72%,88%,84%,,84%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,24%,21%,15%,18%,12%,18%,21%,27%,30%,21%,27%,42%,21%,24%,27%,18%,30%,33%,42%,33%,18%,30%,55%,48%,45%,36%,39%,42%,36%,55%,39%,45%,36%,45%,42%,64%,61%,55%,48%,52%,58%,58%,42%,61%,52%,58%,73%,64%,67%,61%,76%,91%,79%,73%,73%,88%,82%,,82%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,24%,24%,15%,18%,15%,21%,21%,26%,29%,24%,26%,41%,21%,24%,26%,18%,29%,35%,44%,32%,18%,29%,56%,50%,47%,35%,41%,44%,38%,56%,41%,47%,35%,44%,44%,65%,62%,53%,50%,53%,59%,59%,41%,62%,53%,59%,71%,65%,65%,62%,76%,91%,76%,74%,74%,88%,82%,,82%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,23%,26%,14%,17%,14%,20%,23%,26%,29%,23%,26%,40%,23%,23%,29%,20%,31%,37%,43%,31%,20%,29%,57%,51%,46%,37%,40%,46%,37%,57%,43%,49%,34%,43%,46%,63%,60%,54%,51%,51%,60%,60%,43%,60%,51%,57%,71%,66%,66%,63%,77%,91%,77%,71%,74%,89%,83%,,83%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,22%,25%,14%,17%,14%,19%,25%,25%,28%,25%,25%,39%,22%,22%,28%,19%,31%,36%,42%,31%,19%,28%,58%,50%,47%,36%,39%,47%,36%,56%,44%,47%,33%,44%,47%,61%,58%,56%,53%,53%,61%,58%,42%,58%,53%,58%,69%,67%,67%,61%,78%,89%,78%,72%,75%,89%,83%,,83%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,22%,24%,14%,16%,14%,19%,24%,27%,27%,24%,24%,38%,22%,22%,30%,19%,32%,35%,41%,32%,19%,27%,57%,51%,46%,35%,41%,49%,35%,57%,43%,46%,35%,46%,49%,62%,59%,57%,51%,54%,62%,57%,41%,59%,51%,57%,70%,68%,68%,59%,76%,86%,76%,70%,76%,86%,84%,,84%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,24%,13%,18%,16%,21%,24%,26%,29%,26%,24%,37%,24%,21%,32%,21%,32%,37%,39%,34%,18%,26%,55%,50%,47%,37%,42%,47%,34%,58%,45%,45%,34%,45%,47%,61%,61%,55%,50%,55%,61%,55%,39%,61%,50%,58%,71%,66%,68%,61%,74%,87%,76%,71%,76%,84%,84%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,23%,13%,18%,18%,21%,23%,26%,28%,28%,23%,36%,23%,21%,33%,21%,31%,38%,38%,33%,18%,26%,56%,51%,46%,38%,41%,46%,36%,56%,46%,44%,33%,46%,46%,59%,59%,56%,49%,56%,59%,54%,38%,59%,49%,56%,69%,67%,69%,59%,72%,87%,77%,72%,77%,82%,85%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,22%,12%,20%,18%,20%,22%,25%,28%,28%,22%,35%,25%,20%,32%,22%,32%,38%,38%,32%,18%,25%,55%,50%,45%,38%,40%,45%,35%,57%,48%,42%,32%,45%,48%,60%,57%,57%,50%,55%,60%,55%,38%,57%,50%,55%,70%,65%,70%,60%,72%,88%,78%,72%,78%,82%,85%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,22%,12%,20%,17%,20%,24%,24%,27%,29%,22%,37%,27%,20%,34%,22%,32%,39%,37%,32%,17%,24%,54%,49%,44%,37%,41%,46%,37%,59%,46%,44%,32%,46%,46%,59%,59%,56%,51%,56%,59%,56%,39%,56%,51%,56%,68%,66%,71%,59%,71%,85%,78%,71%,78%,80%,85%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,21%,12%,19%,17%,19%,24%,26%,29%,29%,21%,36%,26%,19%,36%,21%,33%,38%,38%,33%,19%,24%,55%,50%,45%,36%,40%,48%,36%,57%,48%,45%,33%,48%,48%,57%,60%,57%,52%,57%,60%,57%,38%,57%,50%,57%,67%,64%,71%,57%,69%,86%,79%,69%,79%,79%,86%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,21%,12%,19%,16%,19%,23%,26%,28%,28%,21%,37%,26%,21%,37%,21%,33%,37%,40%,35%,21%,23%,53%,49%,47%,35%,42%,47%,35%,56%,49%,47%,35%,49%,47%,56%,58%,58%,53%,58%,60%,58%,40%,56%,49%,58%,67%,65%,70%,56%,70%,86%,79%,67%,79%,79%,84%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,20%,11%,18%,16%,20%,23%,25%,30%,27%,20%,36%,25%,20%,36%,20%,34%,36%,39%,36%,20%,23%,52%,50%,48%,34%,43%,48%,34%,57%,48%,48%,36%,50%,48%,57%,57%,59%,52%,57%,61%,59%,39%,55%,48%,57%,66%,66%,68%,55%,68%,86%,80%,68%,80%,77%,82%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,20%,13%,20%,16%,20%,22%,24%,29%,27%,20%,36%,24%,20%,36%,20%,33%,36%,38%,38%,22%,22%,53%,51%,49%,33%,44%,47%,36%,56%,49%,47%,36%,51%,49%,58%,56%,60%,53%,58%,60%,60%,40%,56%,49%,56%,67%,67%,69%,56%,69%,87%,80%,69%,80%,78%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,20%,13%,20%,15%,22%,22%,24%,28%,26%,20%,37%,24%,20%,35%,20%,33%,35%,37%,39%,24%,22%,52%,50%,48%,33%,46%,48%,37%,57%,48%,46%,35%,52%,50%,57%,57%,61%,52%,59%,61%,61%,41%,54%,50%,57%,65%,67%,70%,57%,67%,85%,78%,70%,78%,78%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,19%,13%,19%,15%,21%,23%,23%,28%,26%,19%,36%,23%,19%,34%,19%,34%,34%,38%,38%,26%,23%,53%,51%,49%,34%,47%,49%,38%,57%,49%,45%,36%,53%,51%,55%,57%,62%,51%,60%,60%,60%,43%,55%,51%,57%,64%,66%,70%,57%,68%,83%,77%,70%,79%,77%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,21%,12%,19%,17%,21%,23%,23%,27%,27%,21%,38%,25%,19%,35%,21%,35%,33%,40%,40%,25%,25%,52%,50%,50%,33%,48%,48%,38%,56%,50%,44%,35%,54%,52%,54%,56%,60%,52%,58%,60%,60%,44%,56%,50%,56%,65%,67%,69%,58%,69%,81%,77%,71%,77%,75%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,20%,12%,18%,16%,20%,22%,22%,27%,27%,22%,39%,24%,18%,37%,20%,37%,33%,39%,39%,24%,24%,51%,49%,49%,33%,47%,47%,39%,55%,49%,43%,35%,53%,53%,55%,57%,61%,53%,57%,61%,61%,43%,57%,51%,57%,65%,67%,69%,59%,69%,80%,76%,71%,78%,76%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,20%,12%,18%,16%,20%,22%,22%,28%,26%,22%,38%,26%,20%,36%,22%,38%,32%,40%,40%,24%,24%,50%,48%,50%,32%,48%,46%,38%,54%,48%,44%,36%,54%,52%,54%,58%,62%,54%,56%,60%,62%,44%,58%,52%,58%,66%,68%,68%,60%,70%,80%,74%,72%,76%,76%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,20%,12%,18%,16%,22%,24%,22%,27%,27%,22%,37%,25%,22%,35%,22%,37%,31%,39%,39%,24%,24%,49%,49%,49%,31%,47%,45%,39%,53%,47%,43%,37%,55%,53%,55%,57%,63%,55%,55%,61%,63%,43%,59%,51%,59%,67%,69%,69%,61%,71%,80%,75%,73%,76%,76%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,19%,12%,17%,15%,23%,23%,21%,29%,27%,21%,37%,25%,21%,35%,23%,37%,31%,38%,38%,25%,23%,48%,48%,50%,31%,48%,44%,38%,52%,48%,42%,38%,56%,52%,54%,56%,62%,54%,56%,62%,63%,42%,60%,52%,60%,65%,69%,69%,60%,71%,79%,73%,73%,77%,75%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11%,17%,15%,23%,23%,21%,28%,26%,23%,38%,25%,21%,34%,23%,36%,32%,38%,38%,25%,25%,49%,47%,51%,30%,49%,43%,40%,51%,47%,42%,38%,57%,51%,55%,55%,62%,55%,57%,62%,64%,42%,58%,53%,60%,64%,70%,70%,60%,72%,77%,74%,72%,77%,75%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11%,17%,15%,22%,24%,20%,30%,28%,22%,37%,24%,20%,33%,24%,37%,31%,39%,37%,26%,24%,50%,48%,52%,31%,50%,43%,41%,52%,46%,41%,37%,57%,50%,56%,54%,63%,56%,57%,63%,63%,43%,59%,54%,59%,63%,70%,70%,59%,70%,78%,74%,70%,78%,76%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11%,16%,15%,22%,24%,20%,29%,27%,22%,38%,24%,20%,33%,24%,36%,31%,40%,36%,27%,25%,49%,47%,51%,31%,49%,42%,40%,51%,47%,42%,36%,56%,49%,55%,55%,64%,55%,56%,64%,64%,44%,58%,55%,60%,64%,71%,69%,60%,69%,76%,75%,71%,76%,75%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11%,18%,14%,21%,23%,20%,29%,27%,21%,38%,23%,21%,32%,23%,36%,32%,41%,36%,27%,27%,50%,48%,52%,30%,48%,41%,39%,50%,48%,41%,38%,55%,50%,55%,54%,64%,54%,55%,62%,64%,43%,59%,55%,61%,64%,70%,70%,61%,70%,75%,73%,70%,77%,73%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11%,18%,14%,21%,25%,19%,30%,28%,21%,37%,23%,23%,33%,23%,35%,32%,40%,37%,26%,28%,49%,47%,51%,30%,49%,40%,39%,49%,49%,40%,37%,54%,51%,54%,54%,63%,54%,54%,61%,63%,42%,60%,56%,61%,65%,70%,68%,61%,70%,75%,74%,68%,77%,74%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10%,,14%,22%,24%,19%,29%,28%,22%,38%,24%,24%,33%,24%,34%,31%,40%,36%,28%,28%,50%,48%,50%,29%,48%,40%,38%,48%,48%,40%,36%,55%,50%,53%,53%,62%,53%,53%,62%,64%,43%,60%,57%,62%,66%,71%,67%,62%,69%,76%,72%,69%,78%,72%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,15%,22%,24%,19%,29%,27%,22%,37%,24%,25%,34%,25%,34%,31%,39%,36%,27%,27%,49%,47%,49%,31%,47%,39%,39%,47%,47%,39%,37%,56%,51%,53%,53%,63%,54%,54%,63%,64%,42%,59%,56%,61%,66%,71%,66%,63%,69%,76%,73%,69%,,73%,,,,,,,,,,,,,,,,,,,,,,,
