id,isResult,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,datetime
17753,False,122,Hertha Berlin,HER,120,Hoffenheim,HOF,None,None,None,None,2022-03-19 02:30:00
17754,False,125,Mainz 05,MAI,262,Arminia Bielefeld,ARM,None,None,None,None,2022-03-19 02:30:00
17755,False,133,VfB Stuttgart,STU,121,Augsburg,AUG,None,None,None,None,2022-03-19 02:30:00
17756,False,131,Wolfsburg,WOL,119,Bayer Leverkusen,LEV,None,None,None,None,2022-03-19 02:30:00
17757,False,136,RasenBallsport Leipzig,RBL,132,Eintracht Frankfurt,EIN,None,None,None,None,2022-03-19 02:30:00
17758,False,117,Bayern Munich,BAY,240,Union Berlin,UNI,None,None,None,None,2022-03-19 02:30:00
17759,False,262,Arminia Bielefeld,ARM,133,VfB Stuttgart,STU,None,None,None,None,2022-04-02 01:30:00
17760,False,121,Augsburg,AUG,131,Wolfsburg,WOL,None,None,None,None,2022-04-02 01:30:00
17761,False,120,Hoffenheim,HOF,268,Bochum,BOC,None,None,None,None,2022-04-02 01:30:00
17762,False,135,Freiburg,FRE,117,Bayern Munich,BAY,None,None,None,None,2022-04-02 01:30:00
17763,False,130,Borussia M.Gladbach,BMG,125,Mainz 05,MAI,None,None,None,None,2022-04-02 01:30:00
17764,False,240,Union Berlin,UNI,134,FC Cologne,COL,None,None,None,None,2022-04-02 01:30:00
17765,False,119,Bayer Leverkusen,LEV,122,Hertha Berlin,HER,None,None,None,None,2022-04-02 01:30:00
17766,False,132,Eintracht Frankfurt,EIN,267,Greuther Fuerth,GRE,None,None,None,None,2022-04-02 01:30:00
17767,False,129,Borussia Dortmund,DOR,136,RasenBallsport Leipzig,RBL,None,None,None,None,2022-04-02 01:30:00
17768,False,267,Greuther Fuerth,GRE,130,Borussia M.Gladbach,BMG,None,None,None,None,2022-04-09 01:30:00
17769,False,268,Bochum,BOC,119,Bayer Leverkusen,LEV,None,None,None,None,2022-04-09 01:30:00
17770,False,134,FC Cologne,COL,125,Mainz 05,MAI,None,None,None,None,2022-04-09 01:30:00
17771,False,122,Hertha Berlin,HER,240,Union Berlin,UNI,None,None,None,None,2022-04-09 01:30:00
17772,False,133,VfB Stuttgart,STU,129,Borussia Dortmund,DOR,None,None,None,None,2022-04-09 01:30:00
17773,False,132,Eintracht Frankfurt,EIN,135,Freiburg,FRE,None,None,None,None,2022-04-09 01:30:00
17774,False,131,Wolfsburg,WOL,262,Arminia Bielefeld,ARM,None,None,None,None,2022-04-09 01:30:00
17775,False,136,RasenBallsport Leipzig,RBL,120,Hoffenheim,HOF,None,None,None,None,2022-04-09 01:30:00
17776,False,117,Bayern Munich,BAY,121,Augsburg,AUG,None,None,None,None,2022-04-09 01:30:00
